Drink	Fl oz	Calories	Caffeine	Mg / floz
Xyience Energy Drink	16	15	160	10
Yellow Tea	8	0	63	7.9
Yerba Mate Tea	8	0	40	5
Yerbae Sparkling Water	12	0	100	8.3
YMateina Yerba Mate	8	0	80	10
Zest Highly Caffeinated Tea	8	0	150	18.8
Zest Sparkling Tea	12	60	135	11.2
Zevia Cola	12	0	45	3.8
Zevia Energy Drink	12	0	120	10
ZipFizz Energy Drink Mix	16	20	100	6.2
Zoa Energy Drink	16	100	160	10
Zola Coconut Water Espresso	17.5	0	125	7.1
Zombie Blood Energy Potion	3.4	25	80	23.5
